City,Country,CustomerAlterKey,Customer,ContactName,ContactTitle,Phone,Fax,LineageKey,Current,StartDate,DWCustomer,DWContactName,DWContactTitle,DWCountry,DWCity,DWPhone,DWFax
City,Country,CustomerAlterKey,Customer,ContactName,ContactTitle,Phone,Fax,LineageKey,Current,StartDate,DWCustomer,DWContactName,DWContactTitle,DWCountry,DWCity,DWPhone,DWFax
City,Country,CustomerAlterKey,Customer,ContactName,ContactTitle,Phone,Fax,LineageKey,Current,StartDate,DWCustomer,DWContactName,DWContactTitle,DWCountry,DWCity,DWPhone,DWFax
City,Country,CustomerAlterKey,Customer,ContactName,ContactTitle,Phone,Fax,LineageKey,Current,StartDate,DWCustomer,DWContactName,DWContactTitle,DWCountry,DWCity,DWPhone,DWFax
Berlin,Germany,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,030-0074321,030-0076545,7,1,11.07.2022 13:22:10,Alfreds Futterkiste,Maria Anders,Sales Representative,Germany,Berlin,030-0074321,030-0076545
Mexico D.F.,Mexico,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,(5) 555-4729,(5) 555-3745,7,1,11.07.2022 13:22:10,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Mexico,Mexico D.F.,(5) 555-4729,(5) 555-3745
Mexico D.F.,Mexico,ANTON,Antonio Moreno Taqueria,Antonio Moreno,Owner,(5) 555-3932,,7,1,11.07.2022 13:22:10,Antonio Moreno Taqueria,Antonio Moreno,Owner,Mexico,Mexico D.F.,(5) 555-3932,
London,UK,AROUT,Around the Horn,Thomas Hardy,Sales Representative,(171) 555-7788,(171) 555-6750,7,1,11.07.2022 13:22:10,Around the Horn,Thomas Hardy,Sales Representative,UK,London,(171) 555-7788,(171) 555-6750
Lulea,Sweden,BERGS,Berglunds snabbkop,Christina Berglund,Order Administrator,0921-12 34 65,0921-12 34 67,7,1,11.07.2022 13:22:10,Berglunds snabbkop,Christina Berglund,Order Administrator,Sweden,Lulea,0921-12 34 65,0921-12 34 67
Mannheim,Germany,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,0621-08460,0621-08924,7,1,11.07.2022 13:22:10,Blauer See Delikatessen,Hanna Moos,Sales Representative,Germany,Mannheim,0621-08460,0621-08924
Strasbourg,France,BLONP,Blondesddsl pere et fils,Frederique Citeaux,Marketing Manager,88.60.15.31,88.60.15.32,7,1,11.07.2022 13:22:10,Blondesddsl pere et fils,Frederique Citeaux,Marketing Manager,France,Strasbourg,88.60.15.31,88.60.15.32
Madrid,Spain,BOLID,Bolido Comidas preparadas,Martin Sommer,Owner,(91) 555 22 82,(91) 555 91 99,7,1,11.07.2022 13:22:10,Bolido Comidas preparadas,Martin Sommer,Owner,Spain,Madrid,(91) 555 22 82,(91) 555 91 99
Marseille,France,BONAP,Bon app',Laurence Lebihan,Owner,91.24.45.40,91.24.45.41,7,1,11.07.2022 13:22:10,Bon app',Laurence Lebihan,Owner,France,Marseille,91.24.45.40,91.24.45.41
Tsawassen,Canada,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,(604) 555-4729,(604) 555-3745,7,1,11.07.2022 13:22:10,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Canada,Tsawassen,(604) 555-4729,(604) 555-3745
London,UK,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,(171) 555-1212,,7,1,11.07.2022 13:22:10,B's Beverages,Victoria Ashworth,Sales Representative,UK,London,(171) 555-1212,
Buenos Aires,Argentina,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,(1) 135-5555,(1) 135-4892,7,1,11.07.2022 13:22:10,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Argentina,Buenos Aires,(1) 135-5555,(1) 135-4892
Mexico D.F.,Mexico,CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,(5) 555-3392,(5) 555-7293,7,1,11.07.2022 13:22:10,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico,Mexico D.F.,(5) 555-3392,(5) 555-7293
Bern,Switzerland,CHOPS,Chop-suey Chinese,Yang Wang,Owner,0452-076545,,7,1,11.07.2022 13:22:10,Chop-suey Chinese,Yang Wang,Owner,Switzerland,Bern,0452-076545,
Sao Paulo,Brazil,COMMI,Comercio Mineiro,Pedro Afonso,Sales Associate,(11) 555-7647,,7,1,11.07.2022 13:22:10,Comercio Mineiro,Pedro Afonso,Sales Associate,Brazil,Sao Paulo,(11) 555-7647,
London,UK,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,(171) 555-2282,(171) 555-9199,7,1,11.07.2022 13:22:10,Consolidated Holdings,Elizabeth Brown,Sales Representative,UK,London,(171) 555-2282,(171) 555-9199
Aachen,Germany,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,0241-039123,0241-059428,7,1,11.07.2022 13:22:10,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Germany,Aachen,0241-039123,0241-059428
Nantes,France,DUMON,Du monde entier,Janine Labrune,Owner,40.67.88.88,40.67.89.89,7,1,11.07.2022 13:22:10,Du monde entier,Janine Labrune,Owner,France,Nantes,40.67.88.88,40.67.89.89
London,UK,EASTC,Eastern Connection,Ann Devon,Sales Agent,(171) 555-0297,(171) 555-3373,7,1,11.07.2022 13:22:10,Eastern Connection,Ann Devon,Sales Agent,UK,London,(171) 555-0297,(171) 555-3373
Graz,Austria,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7675-3425,7675-3426,7,1,11.07.2022 13:22:10,Ernst Handel,Roland Mendel,Sales Manager,Austria,Graz,7675-3425,7675-3426
Sao Paulo,Brazil,FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,(11) 555-9857,,7,1,11.07.2022 13:22:10,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Brazil,Sao Paulo,(11) 555-9857,
Madrid,Spain,FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,(91) 555 94 44,(91) 555 55 93,7,1,11.07.2022 13:22:10,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Spain,Madrid,(91) 555 94 44,(91) 555 55 93
Lille,France,FOLIG,Folies gourmandes,Martine Rance,Assistant Sales Agent,20.16.10.16,20.16.10.17,7,1,11.07.2022 13:22:10,Folies gourmandes,Martine Rance,Assistant Sales Agent,France,Lille,20.16.10.16,20.16.10.17
Bracke,Sweden,FOLKO,Folk och fa HB,Maria Larsson,Owner,0695-34 67 21,,7,1,11.07.2022 13:22:10,Folk och fa HB,Maria Larsson,Owner,Sweden,Bracke,0695-34 67 21,
Munchen,Germany,FRANK,Frankenversand,Peter Franken,Marketing Manager,089-0877310,089-0877451,7,1,11.07.2022 13:22:10,Frankenversand,Peter Franken,Marketing Manager,Germany,Munchen,089-0877310,089-0877451
Nantes,France,FRANR,France restauration,Carine Schmitt,Marketing Manager,40.32.21.21,40.32.21.20,7,1,11.07.2022 13:22:10,France restauration,Carine Schmitt,Marketing Manager,France,Nantes,40.32.21.21,40.32.21.20
Torino,Italy,FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,011-4988260,011-4988261,7,1,11.07.2022 13:22:10,Franchi S.p.A.,Paolo Accorti,Sales Representative,Italy,Torino,011-4988260,011-4988261
Lisboa,Portugal,FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,(1) 354-2534,(1) 354-2535,7,1,11.07.2022 13:22:10,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Portugal,Lisboa,(1) 354-2534,(1) 354-2535
Barcelona,Spain,GALED,Galeria del gastronomo,Eduardo Saavedra,Marketing Manager,(93) 203 4560,(93) 203 4561,7,1,11.07.2022 13:22:10,Galeria del gastronomo,Eduardo Saavedra,Marketing Manager,Spain,Barcelona,(93) 203 4560,(93) 203 4561
Sevilla,Spain,GODOS,Godos Cocina Tipica,Jose Pedro Freyre,Sales Manager,(95) 555 82 82,,7,1,11.07.2022 13:22:10,Godos Cocina Tipica,Jose Pedro Freyre,Sales Manager,Spain,Sevilla,(95) 555 82 82,
Campinas,Brazil,GOURL,Gourmet Lanchonetes,Andre Fonseca,Sales Associate,(11) 555-9482,,7,1,11.07.2022 13:22:10,Gourmet Lanchonetes,Andre Fonseca,Sales Associate,Brazil,Campinas,(11) 555-9482,
Eugene,USA,GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,(503) 555-7555,,7,1,11.07.2022 13:22:10,Great Lakes Food Market,Howard Snyder,Marketing Manager,USA,Eugene,(503) 555-7555,
Caracas,Venezuela,GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,(2) 283-2951,(2) 283-3397,7,1,11.07.2022 13:22:10,GROSELLA-Restaurante,Manuel Pereira,Owner,Venezuela,Caracas,(2) 283-2951,(2) 283-3397
Rio de Janeiro,Brazil,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,(21) 555-0091,(21) 555-8765,7,1,11.07.2022 13:22:10,Hanari Carnes,Mario Pontes,Accounting Manager,Brazil,Rio de Janeiro,(21) 555-0091,(21) 555-8765
