City,Country,CustomerAlterKey,Customer,ContactName,ContactTitle,Phone,Fax,LineageKey,Current,StartDate,DWCustomer,DWContactName,DWContactTitle,DWCountry,DWCity,DWPhone,DWFax
London,UK,AROUT,Around The Horn,Thomas Hardy,Sales Representative,(171) 555-7788,(171) 555-6750,468,1,02.04.1998,Around The Horn,Thomas Hardy,Sales Representative,UK,London,(171) 555-7788,(171) 555-6750
Lulea,Sweden,BERGS,Berglunds Snabbkop,Christina Berglund,Order Administrator,0921-12 34 65,0921-12 34 67,468,1,02.04.1998,Berglunds Snabbkop,Christina Berglund,Order Administrator,Sweden,Lulea,0921-12 34 65,0921-12 34 67
Mannheim,Germany,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,0621-08460,0621-08924,468,1,02.04.1998,Blauer See Delikatessen,Hanna Moos,Sales Representative,Germany,Mannheim,0621-08460,0621-08924
Strasbourg,France,BLONP,Blondesddsl Pere Et Fils,Frederique Citeaux,Marketing Manager,88.60.15.31,88.60.15.32,468,1,02.04.1998,Blondesddsl Pere Et Fils,Frederique Citeaux,Marketing Manager,France,Strasbourg,88.60.15.31,88.60.15.32
Madrid,Spain,BOLID,Bolido Comidas Preparadas,Martin Sommer,Owner,(91) 555 22 82,(91) 555 91 99,468,1,02.04.1998,Bolido Comidas Preparadas,Martin Sommer,Owner,Spain,Madrid,(91) 555 22 82,(91) 555 91 99
Marseille,France,BONAP,Bon App',Laurence Lebihan,Owner,91.24.45.40,91.24.45.41,468,1,02.04.1998,Bon App',Laurence Lebihan,Owner,France,Marseille,91.24.45.40,91.24.45.41
Tsawassen,Canada,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,(604) 555-4729,(604) 555-3745,468,1,02.04.1998,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Canada,Tsawassen,(604) 555-4729,(604) 555-3745
London,UK,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,(171) 555-1212,,468,1,02.04.1998,B's Beverages,Victoria Ashworth,Sales Representative,UK,London,(171) 555-1212,
Buenos Aires,Argentina,CACTU,Cactus Comidas Para Llevar,Patricio Simpson,Sales Agent,(1) 135-5555,(1) 135-4892,468,1,02.04.1998,Cactus Comidas Para Llevar,Patricio Simpson,Sales Agent,Argentina,Buenos Aires,(1) 135-5555,(1) 135-4892
Mexico D.F.,Mexico,CENTC,Centro Comercial Moctezuma,Francisco Chang,Marketing Manager,(5) 555-3392,(5) 555-7293,468,1,02.04.1998,Centro Comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico,Mexico D.F.,(5) 555-3392,(5) 555-7293
Bern,Switzerland,CHOPS,Chop-Suey Chinese,Yang Wang,Owner,0452-076545,,468,1,02.04.1998,Chop-Suey Chinese,Yang Wang,Owner,Switzerland,Bern,0452-076545,
Sao Paulo,Brazil,COMMI,Comercio Mineiro,Pedro Afonso,Sales Associate,(11) 555-7647,,468,1,02.04.1998,Comercio Mineiro,Pedro Afonso,Sales Associate,Brazil,Sao Paulo,(11) 555-7647,
London,UK,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,(171) 555-2282,(171) 555-9199,468,1,02.04.1998,Consolidated Holdings,Elizabeth Brown,Sales Representative,UK,London,(171) 555-2282,(171) 555-9199
Aachen,Germany,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,0241-039123,0241-059428,468,1,02.04.1998,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Germany,Aachen,0241-039123,0241-059428
Nantes,France,DUMON,Du Monde Entier,Janine Labrune,Owner,40.67.88.88,40.67.89.89,468,1,02.04.1998,Du Monde Entier,Janine Labrune,Owner,France,Nantes,40.67.88.88,40.67.89.89
London,UK,EASTC,Eastern Connection,Ann Devon,Sales Agent,(171) 555-0297,(171) 555-3373,468,1,02.04.1998,Eastern Connection,Ann Devon,Sales Agent,UK,London,(171) 555-0297,(171) 555-3373
Graz,Austria,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7675-3425,7675-3426,468,1,02.04.1998,Ernst Handel,Roland Mendel,Sales Manager,Austria,Graz,7675-3425,7675-3426
Sao Paulo,Brazil,FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,(11) 555-9857,,468,1,02.04.1998,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Brazil,Sao Paulo,(11) 555-9857,
Madrid,Spain,FISSA,Fissa Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,(91) 555 94 44,(91) 555 55 93,468,1,02.04.1998,Fissa Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Spain,Madrid,(91) 555 94 44,(91) 555 55 93
Lille,France,FOLIG,Folies Gourmandes,Martine Rance,Assistant Sales Agent,20.16.10.16,20.16.10.17,468,1,02.04.1998,Folies Gourmandes,Martine Rance,Assistant Sales Agent,France,Lille,20.16.10.16,20.16.10.17
Bracke,Sweden,FOLKO,Folk Och Fa Hb,Maria Larsson,Owner,0695-34 67 21,,468,1,02.04.1998,Folk Och Fa Hb,Maria Larsson,Owner,Sweden,Bracke,0695-34 67 21,
Munchen,Germany,FRANK,Frankenversand,Peter Franken,Marketing Manager,089-0877310,089-0877451,468,1,02.04.1998,Frankenversand,Peter Franken,Marketing Manager,Germany,Munchen,089-0877310,089-0877451
Nantes,France,FRANR,France Restauration,Carine Schmitt,Marketing Manager,40.32.21.21,40.32.21.20,468,1,02.04.1998,France Restauration,Carine Schmitt,Marketing Manager,France,Nantes,40.32.21.21,40.32.21.20
Torino,Italy,FRANS,Franchi S.P.A.,Paolo Accorti,Sales Representative,011-4988260,011-4988261,468,1,02.04.1998,Franchi S.P.A.,Paolo Accorti,Sales Representative,Italy,Torino,011-4988260,011-4988261
Lisboa,Portugal,FURIB,Furia Bacalhau E Frutos Do Mar,Lino Rodriguez,Sales Manager,(1) 354-2534,(1) 354-2535,468,1,02.04.1998,Furia Bacalhau E Frutos Do Mar,Lino Rodriguez,Sales Manager,Portugal,Lisboa,(1) 354-2534,(1) 354-2535
Barcelona,Spain,GALED,Galeria Del Gastronomo,Eduardo Saavedra,Marketing Manager,(93) 203 4560,(93) 203 4561,468,1,02.04.1998,Galeria Del Gastronomo,Eduardo Saavedra,Marketing Manager,Spain,Barcelona,(93) 203 4560,(93) 203 4561
Sevilla,Spain,GODOS,Godos Cocina Tipica,Jose Pedro Freyre,Sales Manager,(95) 555 82 82,,468,1,02.04.1998,Godos Cocina Tipica,Jose Pedro Freyre,Sales Manager,Spain,Sevilla,(95) 555 82 82,
Campinas,Brazil,GOURL,Gourmet Lanchonetes,Andre Fonseca,Sales Associate,(11) 555-9482,,468,1,02.04.1998,Gourmet Lanchonetes,Andre Fonseca,Sales Associate,Brazil,Campinas,(11) 555-9482,
Eugene,USA,GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,(503) 555-7555,,468,1,02.04.1998,Great Lakes Food Market,Howard Snyder,Marketing Manager,USA,Eugene,(503) 555-7555,
Caracas,Venezuela,GROSR,Grosella-Restaurante,Manuel Pereira,Owner,(2) 283-2951,(2) 283-3397,468,1,02.04.1998,Grosella-Restaurante,Manuel Pereira,Owner,Venezuela,Caracas,(2) 283-2951,(2) 283-3397
Rio De Janeiro,Brazil,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,(21) 555-0091,(21) 555-8765,468,1,02.04.1998,Hanari Carnes,Mario Pontes,Accounting Manager,Brazil,Rio De Janeiro,(21) 555-0091,(21) 555-8765
San Cristobal,Venezuela,HILAA,Hilarion-Abastos,Carlos Hernandez,Sales Representative,(5) 555-1340,(5) 555-1948,468,1,02.04.1998,Hilarion-Abastos,Carlos Hernandez,Sales Representative,Venezuela,San Cristobal,(5) 555-1340,(5) 555-1948
Elgin,USA,HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,(503) 555-6874,(503) 555-2376,468,1,02.04.1998,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,USA,Elgin,(503) 555-6874,(503) 555-2376
Cork,Ireland,HUNGO,Hungry Owl All-Night Grocers,Patricia Mckenna,Sales Associate,2967 542,2967 3333,468,1,02.04.1998,Hungry Owl All-Night Grocers,Patricia Mckenna,Sales Associate,Ireland,Cork,2967 542,2967 3333
Cowes,UK,ISLAT,Island Trading,Helen Bennett,Marketing Manager,(198) 555-8888,,468,1,02.04.1998,Island Trading,Helen Bennett,Marketing Manager,UK,Cowes,(198) 555-8888,
Brandenburg,Germany,KOENE,Koniglich Essen,Philip Cramer,Sales Associate,0555-09876,,468,1,02.04.1998,Koniglich Essen,Philip Cramer,Sales Associate,Germany,Brandenburg,0555-09876,
Versailles,France,LACOR,La Corne D'abondance,Daniel Tonini,Sales Representative,30.59.84.10,30.59.85.11,468,1,02.04.1998,La Corne D'abondance,Daniel Tonini,Sales Representative,France,Versailles,30.59.84.10,30.59.85.11
Toulouse,France,LAMAI,La Maison D'asie,Annette Roulet,Sales Manager,61.77.61.10,61.77.61.11,468,1,02.04.1998,La Maison D'asie,Annette Roulet,Sales Manager,France,Toulouse,61.77.61.10,61.77.61.11
Vancouver,Canada,LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,(604) 555-3392,(604) 555-7293,468,1,02.04.1998,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,Canada,Vancouver,(604) 555-3392,(604) 555-7293
Walla Walla,USA,LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,(509) 555-7969,(509) 555-6221,468,1,02.04.1998,Lazy K Kountry Store,John Steel,Marketing Manager,USA,Walla Walla,(509) 555-7969,(509) 555-6221
Frankfurt A.M.,Germany,LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,069-0245984,069-0245874,468,1,02.04.1998,Lehmanns Marktstand,Renate Messner,Sales Representative,Germany,Frankfurt A.M.,069-0245984,069-0245874
San Francisco,USA,LETSS,Let's Stop N Shop,Jaime Yorres,Owner,(415) 555-5938,,468,1,02.04.1998,Let's Stop N Shop,Jaime Yorres,Owner,USA,San Francisco,(415) 555-5938,
Barquisimeto,Venezuela,LILAS,Lila-Supermercado,Carlos Gonzalez,Accounting Manager,(9) 331-6954,(9) 331-7256,468,1,02.04.1998,Lila-Supermercado,Carlos Gonzalez,Accounting Manager,Venezuela,Barquisimeto,(9) 331-6954,(9) 331-7256
I. De Margarita,Venezuela,LINOD,Lino-Delicateses,Felipe Izquierdo,Owner,(8) 34-56-12,(8) 34-93-93,468,1,02.04.1998,Lino-Delicateses,Felipe Izquierdo,Owner,Venezuela,I. De Margarita,(8) 34-56-12,(8) 34-93-93
Portland,USA,LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,(503) 555-9573,(503) 555-9646,468,1,02.04.1998,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,USA,Portland,(503) 555-9573,(503) 555-9646
Bergamo,Italy,MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,035-640230,035-640231,468,1,02.04.1998,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Italy,Bergamo,035-640230,035-640231
Bruxelles,Belgium,MAISD,Maison Dewey,Catherine Dewey,Sales Agent,(02) 201 24 67,(02) 201 24 68,468,1,02.04.1998,Maison Dewey,Catherine Dewey,Sales Agent,Belgium,Bruxelles,(02) 201 24 67,(02) 201 24 68
Montreal,Canada,MEREP,Mere Paillarde,Jean Fresniere,Marketing Assistant,(514) 555-8054,(514) 555-8055,468,1,02.04.1998,Mere Paillarde,Jean Fresniere,Marketing Assistant,Canada,Montreal,(514) 555-8054,(514) 555-8055
Leipzig,Germany,MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,0342-023176,,468,1,02.04.1998,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Germany,Leipzig,0342-023176,
London,UK,NORTS,North/South,Simon Crowther,Sales Associate,(171) 555-7733,(171) 555-2530,468,1,02.04.1998,North/South,Simon Crowther,Sales Associate,UK,London,(171) 555-7733,(171) 555-2530
Buenos Aires,Argentina,OCEAN,Oceano Atlantico Ltda.,Yvonne Moncada,Sales Agent,(1) 135-5333,(1) 135-5535,468,1,02.04.1998,Oceano Atlantico Ltda.,Yvonne Moncada,Sales Agent,Argentina,Buenos Aires,(1) 135-5333,(1) 135-5535
Anchorage,USA,OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,(907) 555-7584,(907) 555-2880,468,1,02.04.1998,Old World Delicatessen,Rene Phillips,Sales Representative,USA,Anchorage,(907) 555-7584,(907) 555-2880
Koln,Germany,OTTIK,Ottilies Kaseladen,Henriette Pfalzheim,Owner,0221-0644327,0221-0765721,468,1,02.04.1998,Ottilies Kaseladen,Henriette Pfalzheim,Owner,Germany,Koln,0221-0644327,0221-0765721
Paris,France,PARIS,Paris Specialites,Marie Bertrand,Owner,(1) 42.34.22.66,(1) 42.34.22.77,468,1,02.04.1998,Paris Specialites,Marie Bertrand,Owner,France,Paris,(1) 42.34.22.66,(1) 42.34.22.77
Mexico D.F.,Mexico,PERIC,Pericles Comidas Clasicas,Guillermo Fernandez,Sales Representative,(5) 552-3745,(5) 545-3745,468,1,02.04.1998,Pericles Comidas Clasicas,Guillermo Fernandez,Sales Representative,Mexico,Mexico D.F.,(5) 552-3745,(5) 545-3745
Salzburg,Austria,PICCO,Piccolo Und Mehr,Georg Pipps,Sales Manager,6562-9722,6562-9723,468,1,02.04.1998,Piccolo Und Mehr,Georg Pipps,Sales Manager,Austria,Salzburg,6562-9722,6562-9723
Lisboa,Portugal,PRINI,Princesa Isabel Vinhos,Isabel De Castro,Sales Representative,(1) 356-5634,,468,1,02.04.1998,Princesa Isabel Vinhos,Isabel De Castro,Sales Representative,Portugal,Lisboa,(1) 356-5634,
Rio De Janeiro,Brazil,QUEDE,Que Delicia,Bernardo Batista,Accounting Manager,(21) 555-4252,(21) 555-4545,468,1,02.04.1998,Que Delicia,Bernardo Batista,Accounting Manager,Brazil,Rio De Janeiro,(21) 555-4252,(21) 555-4545
Sao Paulo,Brazil,QUEEN,Queen Cozinha,Lucia Carvalho,Marketing Assistant,(11) 555-1189,,468,1,02.04.1998,Queen Cozinha,Lucia Carvalho,Marketing Assistant,Brazil,Sao Paulo,(11) 555-1189,
Cunewalde,Germany,QUICK,Quick-Stop,Horst Kloss,Accounting Manager,0372-035188,,468,1,02.04.1998,Quick-Stop,Horst Kloss,Accounting Manager,Germany,Cunewalde,0372-035188,
Buenos Aires,Argentina,RANCH,Rancho Grande,Sergio Gutierrez,Sales Representative,(1) 123-5555,(1) 123-5556,468,1,02.04.1998,Rancho Grande,Sergio Gutierrez,Sales Representative,Argentina,Buenos Aires,(1) 123-5555,(1) 123-5556
Albuquerque,USA,RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,(505) 555-5939,(505) 555-3620,468,1,02.04.1998,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,USA,Albuquerque,(505) 555-5939,(505) 555-3620
Reggio Emilia,Italy,REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,0522-556721,0522-556722,468,1,02.04.1998,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Italy,Reggio Emilia,0522-556721,0522-556722
Rio De Janeiro,Brazil,RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,(21) 555-3412,,468,1,02.04.1998,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Brazil,Rio De Janeiro,(21) 555-3412,
Geneve,Switzerland,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,0897-034214,,468,1,02.04.1998,Richter Supermarkt,Michael Holz,Sales Manager,Switzerland,Geneve,0897-034214,
Madrid,Spain,ROMEY,Romero Y Tomillo,Alejandra Camino,Accounting Manager,(91) 745 6200,(91) 745 6210,468,1,02.04.1998,Romero Y Tomillo,Alejandra Camino,Accounting Manager,Spain,Madrid,(91) 745 6200,(91) 745 6210
Stavern,Norway,SANTG,Sante Gourmet,Jonas Bergulfsen,Owner,07-98 92 35,07-98 92 47,468,1,02.04.1998,Sante Gourmet,Jonas Bergulfsen,Owner,Norway,Stavern,07-98 92 35,07-98 92 47
Boise,USA,SAVEA,Save-A-Lot Markets,Jose Pavarotti,Sales Representative,(208) 555-8097,,468,1,02.04.1998,Save-A-Lot Markets,Jose Pavarotti,Sales Representative,USA,Boise,(208) 555-8097,
London,UK,SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,(171) 555-1717,(171) 555-5646,468,1,02.04.1998,Seven Seas Imports,Hari Kumar,Sales Manager,UK,London,(171) 555-1717,(171) 555-5646
Kobenhavn,Denmark,SIMOB,Simons Bistro,Jytte Petersen,Owner,31 12 34 56,31 13 35 57,468,1,02.04.1998,Simons Bistro,Jytte Petersen,Owner,Denmark,Kobenhavn,31 12 34 56,31 13 35 57
Paris,France,SPECD,Specialites Du Monde,Dominique Perrier,Marketing Manager,(1) 47.55.60.10,(1) 47.55.60.20,468,1,02.04.1998,Specialites Du Monde,Dominique Perrier,Marketing Manager,France,Paris,(1) 47.55.60.10,(1) 47.55.60.20
Lander,USA,SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,(307) 555-4680,(307) 555-6525,468,1,02.04.1998,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,USA,Lander,(307) 555-4680,(307) 555-6525
Charleroi,Belgium,SUPRD,Supremes Delices,Pascale Cartrain,Accounting Manager,(071) 23 67 22 20,(071) 23 67 22 21,468,1,02.04.1998,Supremes Delices,Pascale Cartrain,Accounting Manager,Belgium,Charleroi,(071) 23 67 22 20,(071) 23 67 22 21
Portland,USA,THEBI,The Big Cheese,Liz Nixon,Marketing Manager,(503) 555-3612,,468,1,02.04.1998,The Big Cheese,Liz Nixon,Marketing Manager,USA,Portland,(503) 555-3612,
Butte,USA,THECR,The Cracker Box,Liu Wong,Marketing Assistant,(406) 555-5834,(406) 555-8083,468,1,02.04.1998,The Cracker Box,Liu Wong,Marketing Assistant,USA,Butte,(406) 555-5834,(406) 555-8083
Munster,Germany,TOMSP,Toms Spezialitaten,Karin Josephs,Marketing Manager,0251-031259,0251-035695,468,1,02.04.1998,Toms Spezialitaten,Karin Josephs,Marketing Manager,Germany,Munster,0251-031259,0251-035695
Mexico D.F.,Mexico,TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,(5) 555-2933,,468,1,02.04.1998,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico,Mexico D.F.,(5) 555-2933,
Sao Paulo,Brazil,TRADH,Tradicao Hipermercados,Anabela Domingues,Sales Representative,(11) 555-2167,(11) 555-2168,468,1,02.04.1998,Tradicao Hipermercados,Anabela Domingues,Sales Representative,Brazil,Sao Paulo,(11) 555-2167,(11) 555-2168
Kirkland,USA,TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,(206) 555-8257,(206) 555-2174,468,1,02.04.1998,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,USA,Kirkland,(206) 555-8257,(206) 555-2174
Arhus,Denmark,VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,86 21 32 43,86 22 33 44,468,1,02.04.1998,Vaffeljernet,Palle Ibsen,Sales Manager,Denmark,Arhus,86 21 32 43,86 22 33 44
Lyon,France,VICTE,Victuailles En Stock,Mary Saveley,Sales Agent,78.32.54.86,78.32.54.87,468,1,02.04.1998,Victuailles En Stock,Mary Saveley,Sales Agent,France,Lyon,78.32.54.86,78.32.54.87
Reims,France,VINET,Vins Et Alcools Chevalier,Paul Henriot,Accounting Manager,26.47.15.10,26.47.15.11,468,1,02.04.1998,Vins Et Alcools Chevalier,Paul Henriot,Accounting Manager,France,Reims,26.47.15.10,26.47.15.11
Stuttgart,Germany,WANDK,Die Wandernde Kuh,Rita Muller,Sales Representative,0711-020361,0711-035428,468,1,02.04.1998,Die Wandernde Kuh,Rita Muller,Sales Representative,Germany,Stuttgart,0711-020361,0711-035428
Oulu,Finland,WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,981-443655,981-443655,468,1,02.04.1998,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Finland,Oulu,981-443655,981-443655
Resende,Brazil,WELLI,Wellington Importadora,Paula Parente,Sales Manager,(14) 555-8122,,468,1,02.04.1998,Wellington Importadora,Paula Parente,Sales Manager,Brazil,Resende,(14) 555-8122,
Seattle,USA,WHITC,White Clover Markets,Karl Jablonski,Owner,(206) 555-4112,(206) 555-4115,468,1,02.04.1998,White Clover Markets,Karl Jablonski,Owner,USA,Seattle,(206) 555-4112,(206) 555-4115
Helsinki,Finland,WILMK,Wilman Kala,Matti Karttunen,Owner,90-224 8858,90-224 8858,468,1,02.04.1998,Wilman Kala,Matti Karttunen,Owner,Finland,Helsinki,90-224 8858,90-224 8858
Warszawa,Poland,WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,(26) 642-7012,(26) 642-7012,468,1,02.04.1998,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Poland,Warszawa,(26) 642-7012,(26) 642-7012
Berlin,Germany,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,030-0074321,030-0076545,468,1,02.04.1998,Alfreds Futterkiste,Maria Anders,Sales Representative,Germany,Berlin,030-0074321,030-0076545
Mexico D.F.,Mexico,ANATR,Ana Trujillo Emparedados Y Helados,Ana Trujillo,Owner,(5) 555-4729,(5) 555-3745,468,1,02.04.1998,Ana Trujillo Emparedados Y Helados,Ana Trujillo,Owner,Mexico,Mexico D.F.,(5) 555-4729,(5) 555-3745
Mexico D.F.,Mexico,ANTON,Antonio Moreno Taqueria,Antonio Moreno,Owner,(5) 555-3932,,468,1,02.04.1998,Antonio Moreno Taqueria,Antonio Moreno,Owner,Mexico,Mexico D.F.,(5) 555-3932,
Warszawa,Poland,WOLZB,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,(26) 642-7012,(26) 642-7012,468,1,02.04.1998,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Poland,Warszawa,(26) 642-7012,(26) 642-7012
